date,msl_m
2014-12-15,0.077
2015-01-15,-0.083
2015-05-15,0.045
2015-06-15,0.161
2015-07-15,0.212
2015-08-15,0.198
2015-09-15,0.266
2015-10-15,0.245
2015-11-15,0.094
2015-12-15,0.094
2016-01-15,0.029
2016-02-15,0.03
2016-03-15,0.081
2016-04-15,0.122
2016-05-15,0.15
2016-06-15,0.14
2016-07-15,0.139
2016-08-15,0.144
2016-09-15,0.295
2016-10-15,0.205
2016-11-15,0.06
2016-12-15,-0.017
2017-01-15,0.009
2017-02-15,0.0
2017-03-15,-0.096
2017-04-15,0.164
2017-05-15,0.227
2017-06-15,0.178
2017-07-15,0.191
2017-08-15,0.239
2017-09-15,0.278
2017-10-15,0.206
2017-11-15,0.141
2017-12-15,-0.016
2018-01-15,-0.146
2018-02-15,-0.023
2018-03-15,0.117
2018-04-15,0.081
2018-05-15,0.156
2018-06-15,0.266
2018-07-15,0.235
2018-08-15,0.198
2018-09-15,0.39
2018-10-15,0.216
2018-11-15,0.14
2018-12-15,0.186
2019-01-15,0.1
2019-02-15,0.049
2019-03-15,0.112
2019-04-15,0.144
2019-05-15,0.257
2019-06-15,0.218
2019-07-15,0.223
2019-08-15,0.264
2019-09-15,0.316
2019-10-15,0.349
2019-11-15,0.16
2019-12-15,0.079
2020-01-15,0.07
2020-02-15,0.064
2020-03-15,0.149
2020-04-15,0.204
2020-05-15,0.156
2020-06-15,0.231
2020-07-15,0.244
2020-08-15,0.247
2020-09-15,0.301
2020-10-15,0.229
2020-11-15,0.11
2020-12-15,0.086
2021-01-15,0.117
2021-02-15,0.111
2021-03-15,0.054
2021-04-15,0.133
2021-05-15,0.089
2021-06-15,0.179
2021-07-15,0.185
2021-08-15,0.237
2021-09-15,0.267
2021-10-15,0.336
2021-11-15,0.143
2021-12-15,0.07
2022-01-15,0.068
2022-02-15,-0.029
2022-03-15,0.022
2022-04-15,0.089
2022-05-15,0.28
2022-06-15,0.216
2022-07-15,0.16
2022-08-15,0.188
2022-09-15,0.248
2022-10-15,0.232
2022-11-15,0.125
2022-12-15,0.145
2023-01-15,0.109
2023-02-15,0.086
2023-03-15,0.189
2023-04-15,0.204
2023-05-15,0.224
2023-06-15,0.308
2023-07-15,0.249
2023-08-15,0.251
2023-09-15,0.33
2023-10-15,0.28
2023-11-15,0.23
2023-12-15,0.185
2024-01-15,0.199
2024-02-15,0.292
2024-03-15,0.215
2024-04-15,0.318
2024-05-15,0.358
2024-06-15,0.22
2024-07-15,0.215
2024-08-15,0.248
2024-09-15,0.427
2024-10-15,0.26
2024-11-15,0.173
2024-12-15,0.021
2025-01-15,-0.076
2025-02-15,0.012
2025-03-15,0.092
2025-04-15,0.111
2025-05-15,0.216
2025-06-15,0.228
2025-07-15,0.237
2025-08-15,0.346
2025-09-15,0.346
2025-10-15,0.354
2025-11-15,0.019
2025-12-15,0.011
2026-01-15,-0.04
2026-02-15,0.122
2026-03-15,0.088
2026-04-15,0.164
2026-05-15,0.149
